"Date","Open","High","Low","Close","Adj.Close","Volume","TypicalPrice"
"2016-01-04",102.610001,105.370003,102,105.349998,99.499107,67649400,102.289703333333
"2016-01-05",105.75,105.849998,102.410004,102.709999,97.00573,55791000,101.755244
"2016-01-06",100.559998,102.370003,99.870003,100.699997,95.107361,68457400,99.115789
"2016-01-07",98.68,100.129997,96.43,96.449997,91.093399,81094400,95.8844653333333
"2016-01-08",98.550003,99.110001,96.760002,96.959999,91.575073,70798000,95.8150253333333
"2016-01-11",98.970001,99.059998,97.339996,98.529999,93.057869,49739400,96.4859543333333
"2016-01-12",100.550003,100.690002,98.839996,99.959999,94.408447,49154200,97.9794816666667
"2016-01-13",100.32,101.190002,97.300003,97.389999,91.981194,62439600,96.823733
"2016-01-14",97.959999,100.480003,95.739998,99.519997,93.992889,63170100,96.73763
"2016-01-15",96.199997,97.709999,95.360001,97.129997,91.735634,79010000,94.9352113333333
"2016-01-19",98.410004,98.650002,95.5,96.660004,91.291718,53087700,95.14724
"2016-01-20",95.099998,98.190002,93.419998,96.790001,91.41452,72334400,94.3415066666667
"2016-01-21",97.059998,97.879997,94.940002,96.300003,90.951736,52161500,94.5905783333333
"2016-01-22",98.629997,101.459999,98.370003,101.419998,95.787369,65800500,98.5391236666667
"2016-01-25",101.519997,101.529999,99.209999,99.440002,93.917336,51794500,98.2191113333333
"2016-01-26",99.93,100.879997,98.07,99.989998,94.43679,75077000,97.7955956666667
"2016-01-27",96.040001,96.629997,93.339996,93.419998,88.231659,133369700,92.733884
"2016-01-28",93.790001,94.519997,92.389999,94.089996,88.864449,55678800,91.924815
"2016-01-29",94.790001,97.339996,94.349998,97.339996,91.93396,64416500,94.541318
"2016-02-01",96.470001,96.709999,95.400002,96.43,91.074501,40943500,94.394834
"2016-02-02",95.419998,96.040001,94.279999,94.480003,89.232796,37357200,93.1842653333333
"2016-02-03",95,96.839996,94.080002,96.349998,90.998932,45964300,93.9729766666667
"2016-02-04",95.860001,97.330002,95.190002,96.599998,91.73011,46471700,94.750038
"2016-02-05",96.519997,96.919998,93.690002,94.019997,89.28019,46418100,93.29673
"2016-02-08",93.129997,95.699997,93.040001,95.010002,90.220276,54021400,92.986758
"2016-02-09",94.290001,95.940002,93.93,94.989998,90.201294,44331200,93.3570986666667
"2016-02-10",95.919998,96.349998,94.099998,94.269997,89.517586,42343600,93.3225273333333
"2016-02-11",93.790001,94.720001,92.589996,93.699997,88.976318,50074700,92.0954383333333
"2016-02-12",94.190002,94.5,93.010002,93.989998,89.251686,40351400,92.253896
"2016-02-16",95.019997,96.849998,94.610001,96.639999,91.768089,49057900,94.4093626666667
"2016-02-17",96.669998,98.209999,96.150002,98.120003,93.173508,44863200,95.844503
"2016-02-18",98.839996,98.889999,96.089996,96.260002,91.407272,39021000,95.4624223333333
"2016-02-19",96,96.760002,95.800003,96.040001,91.198341,35374200,94.5861153333333
"2016-02-22",96.309998,96.900002,95.919998,96.879997,91.995995,34280800,94.938665
"2016-02-23",96.400002,96.5,94.550003,94.690002,89.91642,31942600,93.6554743333333
"2016-02-24",93.980003,96.379997,93.32,96.099998,91.255333,36255700,93.6517766666667
"2016-02-25",96.050003,96.760002,95.25,96.760002,91.882057,27582700,94.6306863333333
"2016-02-26",97.199997,98.019997,96.580002,96.910004,92.02449,28991100,95.5414963333333
"2016-02-29",96.860001,98.230003,96.650002,96.690002,91.815598,35216300,95.565201
"2016-03-01",97.650002,100.769997,97.419998,100.529999,95.461998,50407100,97.8839976666667
